credit_history,employment_status,collateral,payment_history,type_of_credit_accounts,public_records_and_collections,purpose_of_loan,income,assets_value,debt_to_income_ratio,length_of_credit_history,number_of_credit_inquiries,number_of_credit_accounts,number_of_credit_accounts_opened_last_12_months,current_balance_of_credit_accounts,total_credit_limit,total_credit_utilization,loan_amount,saving_account_balance,approval_status
Fair,Self-Employed,Other,Fair,Student,Judgement,Home Improvement,35087,22021,74,90,5,3,1,9703,872,91,2961,2896,Rejected
Fair,Employed,House,Good,Personal,Other,Home Improvement,42204,46773,50,44,5,5,2,16484,18486,55,1069,8525,Rejected
Poor,Employed,Other,Good,Personal,Tax Lien,Business,14577,48127,19,9,3,1,3,10932,6047,32,2315,8745,Rejected
Poor,Unemployed,House,Good,Other,None,Debt Consolidation,29310,29978,100,61,1,1,0,1950,10226,48,1208,16753,Rejected
Fair,Self-Employed,Other,Excellent,Mortgage,None,Debt Consolidation,23923,13216,89,86,5,3,3,14131,8285,38,3411,10532,Rejected
Fair,Self-Employed,Land,Fair,Personal,Tax Lien,Debt Consolidation,35271,15254,10,69,3,1,1,4269,4185,18,4885,5370,Rejected
Excellent,Employed,House,Fair,Personal,Judgement,Debt Consolidation,40277,45155,26,91,0,4,3,7440,14201,83,2982,8285,Rejected
Fair,Unemployed,None,Fair,Mortgage,Tax Lien,Other,37957,40176,20,1,3,5,3,13373,15953,93,4277,4311,Rejected
Good,Unemployed,House,Good,Mortgage,None,Car Financing,17731,11046,100,42,2,0,2,17654,14046,78,4494,9705,Rejected
Good,Self-Employed,Investment,Excellent,Mortgage,Judgement,Car Financing,25817,46372,40,96,1,2,5,4746,11920,34,4431,7124,Rejected
Excellent,Unemployed,Other,Excellent,Student,Tax Lien,Car Financing,13311,38061,28,26,4,5,0,13099,11498,43,3501,16377,Rejected
Poor,Employed,Other,Poor,Mortgage,Tax Lien,Car Financing,16288,10661,88,67,1,4,1,181,1641,90,2058,13592,Rejected
Poor,Unemployed,Land,Fair,Student,Collection,Debt Consolidation,37763,13903,37,90,5,1,3,17935,4472,25,4353,19535,Rejected
Fair,Self-Employed,Land,Fair,Mortgage,None,Other,18418,22782,42,100,3,4,2,7606,6868,14,1705,16080,Rejected
Excellent,Employed,Car,Good,Other,Other,Car Financing,24980,29473,93,82,5,5,3,6323,16684,51,2953,6226,Rejected
Fair,Employed,Investment,Excellent,Mortgage,Bankruptcy,Car Financing,45184,32019,86,54,0,2,5,11109,2747,45,1947,4215,Rejected
Excellent,Self-Employed,Other,Fair,Mortgage,Other,Home Improvement,31551,21817,72,98,0,0,4,7981,4811,91,2266,1450,Rejected
Excellent,Unemployed,House,Good,Auto,Bankruptcy,Other,10621,10620,58,80,3,1,5,18572,14025,77,1039,6344,Rejected
Fair,Unemployed,Car,Excellent,Mortgage,Judgement,Home Improvement,39615,43456,27,12,1,0,1,16013,18874,11,1843,14651,Rejected
Excellent,Unemployed,None,Good,Mortgage,Collection,Car Financing,31230,10082,62,49,3,1,4,17628,3398,63,3203,18336,Rejected
Poor,Employed,Land,Fair,Other,Tax Lien,Other,10045,47790,96,72,2,0,1,12818,12761,25,2223,5096,Rejected
Excellent,Unemployed,House,Fair,Mortgage,Judgement,Business,31603,28151,29,4,2,2,3,12889,17925,55,2672,15000,Rejected
Poor,Unemployed,Investment,Excellent,Mortgage,Judgement,Car Financing,19038,46347,73,20,5,1,3,9559,19554,34,3066,5026,Rejected
Excellent,Unemployed,Other,Fair,Other,Collection,Debt Consolidation,26398,15105,66,56,3,1,3,12052,11490,67,4936,8593,Rejected
Poor,Unemployed,None,Fair,Mortgage,None,Other,30815,10120,58,9,1,0,3,18719,14658,93,4852,9138,Rejected
Excellent,Unemployed,None,Good,Auto,Other,Other,36318,31578,91,84,5,2,2,15008,9523,27,2657,14784,Rejected
Fair,Employed,None,Poor,Other,Bankruptcy,Business,16139,45562,30,2,0,2,0,15336,2558,93,4951,16715,Rejected
Poor,Self-Employed,Investment,Poor,Student,None,Business,18076,39077,18,48,0,0,4,10307,15031,32,3976,2006,Rejected
Excellent,Unemployed,None,Excellent,Mortgage,Judgement,Other,28067,28432,61,91,1,0,5,262,147,86,4548,13012,Rejected
Poor,Self-Employed,Investment,Poor,Other,Other,Home Improvement,11061,14723,2,78,0,0,4,8272,19914,58,3175,4281,Rejected
Fair,Self-Employed,None,Poor,Auto,Collection,Debt Consolidation,23460,22084,35,79,4,3,3,13223,3204,46,1666,9967,Rejected
Good,Employed,Other,Fair,Student,Tax Lien,Home Improvement,48356,44148,33,41,3,2,2,19122,1711,32,1807,18557,Approved
Good,Unemployed,Investment,Excellent,Personal,None,Other,50000,21057,29,19,4,0,2,16921,8416,59,1010,2783,Rejected
Good,Self-Employed,Land,Good,Student,Collection,Car Financing,46322,40877,60,94,4,3,4,1829,2499,0,3514,3353,Rejected
Fair,Self-Employed,House,Good,Auto,Collection,Car Financing,49354,25552,52,35,0,2,2,4335,1936,98,1049,10846,Rejected
Excellent,Self-Employed,Other,Poor,Personal,None,Home Improvement,22617,16609,54,0,0,2,1,18141,19914,67,3769,9243,Rejected
Good,Self-Employed,House,Good,Personal,Other,Debt Consolidation,34472,26327,71,19,5,2,1,9112,12628,11,2145,19159,Approved
Poor,Self-Employed,House,Poor,Personal,Tax Lien,Debt Consolidation,20633,14018,99,6,2,5,3,2849,2737,15,2522,13739,Rejected
Poor,Unemployed,None,Fair,Other,Bankruptcy,Business,16314,11656,99,10,3,5,4,9606,12769,41,1714,5811,Rejected
Poor,Unemployed,House,Poor,Auto,None,Home Improvement,16469,46115,22,18,2,4,3,3489,8324,21,4596,5347,Rejected
Excellent,Self-Employed,Other,Good,Student,None,Car Financing,11888,18522,45,55,0,0,0,9376,16175,14,3116,11508,Rejected
Poor,Unemployed,None,Fair,Personal,Other,Home Improvement,38256,21740,55,9,3,3,0,6070,17300,61,3227,4025,Rejected
Excellent,Self-Employed,House,Excellent,Personal,Collection,Home Improvement,39367,31146,26,8,0,2,1,3798,14648,36,4971,7423,Rejected
Poor,Employed,House,Poor,Mortgage,Bankruptcy,Other,41761,27961,96,77,4,3,0,16276,12102,77,3185,7651,Rejected
Fair,Self-Employed,Car,Fair,Personal,Bankruptcy,Home Improvement,30016,10515,22,75,3,0,4,17393,17231,15,1695,13586,Rejected
Poor,Employed,Car,Good,Other,Judgement,Other,30866,18259,96,33,4,0,4,17974,2146,20,3681,14479,Rejected
Good,Self-Employed,Car,Excellent,Mortgage,Other,Business,44639,26930,64,79,5,2,5,12590,2520,86,4040,5642,Approved
Poor,Unemployed,None,Poor,Other,Tax Lien,Home Improvement,24565,13486,14,34,0,3,4,2853,5246,19,1353,10602,Rejected
Excellent,Employed,Investment,Good,Other,Other,Debt Consolidation,15502,32076,45,84,4,1,1,15603,18859,71,3450,3050,Rejected
Excellent,Employed,None,Poor,Mortgage,Other,Business,30874,29083,77,47,2,4,5,4685,17336,75,3055,7486,Rejected
Good,Employed,Car,Good,Personal,Bankruptcy,Home Improvement,40854,18518,24,59,4,2,3,3633,12208,69,1161,10233,Rejected
Good,Self-Employed,Other,Good,Other,Other,Home Improvement,34163,10594,97,30,5,5,0,15706,16635,90,2877,4598,Rejected
Excellent,Self-Employed,Car,Good,Personal,Collection,Debt Consolidation,16289,13108,16,89,1,0,5,4879,5134,64,3325,9898,Rejected
Good,Employed,None,Excellent,Other,Bankruptcy,Home Improvement,48330,39116,5,37,3,1,4,12869,18181,68,3229,4438,Approved
Fair,Employed,None,Excellent,Auto,Collection,Business,38062,29521,27,80,2,5,3,1427,18035,13,4426,9738,Rejected
Excellent,Employed,None,Poor,Other,Collection,Business,20353,18174,59,39,2,4,0,16311,5069,42,2033,3490,Rejected
Good,Unemployed,None,Good,Personal,Tax Lien,Debt Consolidation,16971,44019,70,59,4,4,0,10674,1448,61,2985,15962,Rejected
Excellent,Self-Employed,House,Poor,Other,Other,Business,10576,22396,48,98,4,2,1,19435,760,44,4645,18823,Rejected
Excellent,Self-Employed,House,Excellent,Student,Bankruptcy,Other,35150,31838,33,21,4,1,2,4093,13766,28,3182,16547,Rejected
Poor,Employed,Car,Poor,Other,Collection,Business,17668,18067,29,63,1,4,3,11277,1037,2,4977,7983,Rejected
Good,Unemployed,Land,Excellent,Student,Bankruptcy,Other,36684,34043,65,90,5,1,4,5033,5047,99,4757,13388,Rejected
Excellent,Self-Employed,Car,Good,Mortgage,Judgement,Business,13073,21107,81,21,0,1,3,10136,5246,39,2438,9236,Rejected
Poor,Employed,Car,Good,Student,Judgement,Other,19712,38648,53,17,4,3,5,17686,4022,23,2551,18189,Rejected
Poor,Self-Employed,Other,Fair,Other,Collection,Home Improvement,32807,31777,3,83,1,3,4,6520,14765,9,2691,2640,Rejected
Fair,Self-Employed,Land,Poor,Mortgage,None,Business,37593,45156,56,36,4,4,3,751,4036,77,1036,10560,Rejected
Fair,Unemployed,House,Fair,Other,Bankruptcy,Home Improvement,40783,27696,100,61,4,1,5,19210,2708,67,2018,13211,Rejected
Good,Self-Employed,Investment,Excellent,Student,Bankruptcy,Other,32576,37008,50,80,1,0,1,1335,3941,30,1880,9001,Rejected
Fair,Self-Employed,Other,Good,Other,Bankruptcy,Other,37551,21845,44,98,0,0,1,15418,9156,24,2317,13295,Rejected
Excellent,Unemployed,Land,Good,Mortgage,Tax Lien,Home Improvement,26126,32407,11,84,1,2,2,15166,9359,95,4858,9961,Rejected
Excellent,Self-Employed,Car,Good,Mortgage,None,Car Financing,42670,44461,23,10,4,2,5,12358,6118,97,2952,17758,Rejected
Poor,Self-Employed,Land,Good,Mortgage,Collection,Home Improvement,35697,23161,78,25,4,2,4,15435,19952,46,4800,9558,Rejected
Excellent,Self-Employed,Investment,Excellent,Student,Collection,Car Financing,34972,14883,53,42,0,1,0,9267,12098,79,3743,4089,Rejected
Excellent,Unemployed,Land,Poor,Auto,Tax Lien,Home Improvement,35079,40893,21,36,2,4,2,12860,8110,52,3833,15024,Rejected
Good,Unemployed,Investment,Good,Auto,Judgement,Other,48722,26553,84,52,4,5,4,18944,14051,89,1435,5939,Rejected
Excellent,Unemployed,Car,Excellent,Mortgage,Collection,Debt Consolidation,31852,23448,86,38,4,1,3,14279,18544,0,2331,7730,Rejected
Excellent,Unemployed,Land,Poor,Other,Collection,Debt Consolidation,45770,22486,9,59,5,1,2,11478,2656,15,3524,10386,Rejected
Good,Employed,Land,Good,Student,Collection,Business,35127,41468,48,45,4,4,0,11137,10689,52,4909,7736,Rejected
Fair,Employed,Land,Poor,Auto,Collection,Home Improvement,38013,27179,11,44,2,1,3,19465,8717,63,4276,7405,Rejected
Fair,Employed,House,Fair,Auto,Other,Home Improvement,27083,35923,15,73,3,4,4,2276,2992,47,4118,5844,Rejected
Excellent,Employed,House,Good,Mortgage,None,Home Improvement,31314,26797,11,86,3,0,2,15164,12614,70,4931,1754,Rejected
Fair,Self-Employed,Land,Fair,Other,Judgement,Home Improvement,34990,45846,91,49,2,2,3,3805,8740,95,3824,7906,Rejected
Excellent,Self-Employed,Investment,Good,Student,Tax Lien,Debt Consolidation,41808,16035,33,17,1,1,2,8977,8909,12,1149,7568,Rejected
Excellent,Self-Employed,House,Excellent,Auto,Tax Lien,Other,37637,40804,7,20,1,1,4,16122,3124,99,2278,10265,Rejected
Excellent,Self-Employed,Other,Fair,Auto,None,Debt Consolidation,38818,10992,1,100,5,1,1,2044,7464,81,3657,10566,Rejected
Good,Unemployed,Other,Poor,Mortgage,Other,Debt Consolidation,29729,26074,59,68,0,2,5,7770,17493,83,1101,16067,Rejected
Excellent,Self-Employed,Investment,Poor,Student,Bankruptcy,Home Improvement,19128,23096,81,49,5,3,1,18500,11528,54,2165,919,Rejected
Good,Unemployed,None,Excellent,Auto,None,Car Financing,31988,42338,60,97,2,0,5,10918,5876,24,3112,18365,Rejected
Excellent,Self-Employed,Other,Fair,Mortgage,Tax Lien,Car Financing,28857,21331,59,54,2,0,0,11989,806,14,2322,14549,Rejected
Good,Self-Employed,Car,Poor,Student,None,Debt Consolidation,14670,28260,79,29,4,2,0,13341,1874,22,2942,6405,Approved
Good,Employed,None,Poor,Auto,Collection,Other,45631,45765,75,58,3,3,3,15532,6136,60,1157,14876,Approved
Excellent,Employed,Investment,Poor,Student,Judgement,Home Improvement,47820,44283,10,94,1,3,0,8169,13132,6,3655,1178,Rejected
Fair,Employed,None,Fair,Other,None,Other,29806,10472,33,21,3,1,5,8776,13018,53,2663,18921,Rejected
Fair,Self-Employed,Car,Poor,Personal,Collection,Home Improvement,48038,48805,19,12,3,0,2,16073,9694,16,4735,214,Rejected
Fair,Employed,Land,Excellent,Personal,Bankruptcy,Car Financing,48139,33245,73,5,3,4,0,4125,14058,100,1701,11399,Rejected
Fair,Employed,None,Fair,Auto,Other,Car Financing,30292,26496,86,47,2,4,5,16851,17889,27,4982,8775,Rejected
Poor,Unemployed,Other,Poor,Other,None,Other,48963,32992,78,29,4,1,1,15892,9036,83,1501,17043,Rejected
Good,Unemployed,Other,Poor,Student,Judgement,Other,46415,37995,50,79,2,3,3,12166,16030,8,1003,11171,Rejected
Fair,Employed,Land,Excellent,Auto,None,Other,26877,40194,39,78,1,1,4,77,4658,17,3244,2028,Rejected
Excellent,Employed,House,Fair,Mortgage,None,Home Improvement,20554,25977,25,12,4,2,1,1073,12126,40,3708,17532,Rejected
Good,Unemployed,Car,Poor,Student,Bankruptcy,Other,36143,18130,5,51,5,5,0,9613,3694,18,2396,7018,Rejected
Good,Unemployed,Land,Poor,Mortgage,Other,Home Improvement,46290,34066,78,3,4,5,1,13150,4035,88,4820,12635,Rejected
Good,Employed,Land,Excellent,Personal,Tax Lien,Business,32679,47809,64,23,1,2,1,2520,19130,52,2668,9602,Approved
Excellent,Self-Employed,Other,Poor,Auto,Bankruptcy,Home Improvement,15341,47687,87,62,2,0,3,11877,1632,22,2821,11378,Rejected
Fair,Unemployed,None,Poor,Auto,None,Home Improvement,12752,19053,55,31,2,3,0,19630,8257,17,2102,15717,Rejected
Poor,Self-Employed,House,Excellent,Student,Other,Other,27032,19611,68,22,1,2,2,14110,890,11,1203,18329,Rejected
Poor,Self-Employed,None,Excellent,Mortgage,Other,Car Financing,43795,24131,5,86,1,4,5,15616,5590,41,2107,2139,Rejected
Excellent,Self-Employed,Investment,Good,Personal,Collection,Car Financing,45498,19362,40,5,2,3,4,7623,4584,62,4863,8773,Rejected
Good,Unemployed,House,Poor,Mortgage,Other,Car Financing,48093,32272,75,45,2,3,2,8519,17167,49,3900,5217,Rejected
Good,Unemployed,Investment,Poor,Personal,None,Other,37153,27452,88,37,1,2,3,13028,10741,88,4376,3962,Rejected
Good,Self-Employed,Investment,Good,Other,None,Debt Consolidation,13255,35684,44,72,4,1,1,3139,7650,80,4096,19008,Approved
Fair,Employed,Car,Excellent,Mortgage,None,Car Financing,33819,18168,100,68,0,1,1,5549,5067,91,4995,13342,Rejected
Fair,Self-Employed,Other,Poor,Auto,None,Business,45170,20952,95,49,4,3,4,4816,17201,27,4905,14258,Rejected
Fair,Unemployed,Other,Good,Student,Judgement,Car Financing,45669,39473,78,88,1,2,2,10961,8090,23,4984,13495,Rejected
Poor,Employed,None,Poor,Other,Other,Home Improvement,34565,18032,8,10,5,1,2,17244,9533,16,2605,5422,Rejected
Fair,Self-Employed,Land,Poor,Mortgage,Judgement,Debt Consolidation,35311,23296,34,74,2,1,3,19423,19532,69,4970,11973,Rejected
Good,Self-Employed,Investment,Good,Auto,Judgement,Debt Consolidation,33593,10801,55,41,3,2,3,13005,8257,78,2588,3565,Rejected
Poor,Self-Employed,Car,Excellent,Mortgage,Collection,Car Financing,14608,36138,16,14,3,4,4,19246,9414,23,4874,9833,Rejected
Good,Self-Employed,Investment,Poor,Student,Collection,Other,14895,31397,46,92,4,0,3,7181,13518,32,3367,185,Rejected
Excellent,Unemployed,Investment,Good,Auto,Collection,Business,26698,39704,5,4,4,4,3,6463,13904,60,3816,11366,Rejected
Excellent,Employed,Investment,Fair,Mortgage,Other,Home Improvement,45226,31218,28,34,2,1,5,8374,19766,1,2899,4787,Rejected
Poor,Employed,Other,Excellent,Other,Tax Lien,Car Financing,14584,33089,32,71,2,5,1,6163,19177,80,3890,2164,Rejected
Good,Unemployed,Car,Poor,Other,Bankruptcy,Car Financing,25760,43328,44,85,2,4,4,8975,6718,14,1568,13249,Rejected
Fair,Unemployed,Car,Poor,Mortgage,Collection,Other,11234,18379,28,6,1,5,0,873,19657,30,1030,10972,Rejected
Poor,Employed,House,Excellent,Student,Collection,Home Improvement,34377,30976,34,94,5,4,5,11023,9003,79,3748,18149,Rejected
Good,Self-Employed,Investment,Poor,Auto,Judgement,Home Improvement,39767,30098,38,18,4,2,1,387,12640,93,2543,5220,Approved
Fair,Employed,Land,Good,Personal,None,Business,19309,43699,61,60,0,2,1,5581,2738,52,3977,12699,Rejected
Fair,Employed,Land,Excellent,Personal,Judgement,Car Financing,21066,32419,47,95,1,0,1,14646,4171,55,2075,6333,Rejected
Good,Self-Employed,None,Poor,Other,Bankruptcy,Debt Consolidation,10968,16108,81,95,4,1,3,4394,2009,75,3065,13482,Rejected
Excellent,Self-Employed,Land,Poor,Auto,Collection,Business,21978,28712,32,89,1,0,5,1276,13195,25,2832,7543,Rejected
Poor,Employed,Land,Good,Auto,Judgement,Car Financing,36934,15408,70,91,2,1,4,8052,11795,85,3253,10300,Rejected
Poor,Employed,Other,Good,Auto,Other,Debt Consolidation,13973,30423,71,79,3,2,1,19588,339,3,4952,5514,Rejected
Good,Employed,None,Excellent,Other,Judgement,Car Financing,35237,40202,11,87,3,3,5,17030,4738,39,2698,1579,Rejected
Fair,Self-Employed,House,Poor,Mortgage,Tax Lien,Home Improvement,36897,35850,88,96,4,3,0,5529,1282,52,2185,8256,Rejected
Fair,Unemployed,Investment,Excellent,Student,Judgement,Other,41163,37173,42,1,3,1,3,10304,10207,63,3213,10527,Rejected
Poor,Unemployed,Investment,Poor,Other,Judgement,Car Financing,29330,47596,48,6,5,3,4,10445,3399,9,1629,18123,Rejected
Good,Employed,Car,Poor,Personal,Judgement,Home Improvement,11793,22132,2,40,5,1,3,2305,1069,70,4170,5075,Approved
Good,Employed,Investment,Good,Personal,Collection,Car Financing,15889,11071,51,6,3,0,1,5817,9065,98,3976,13888,Rejected
Fair,Employed,Investment,Good,Student,Other,Car Financing,16784,16075,10,35,0,5,4,15674,10245,92,4827,13444,Rejected
Poor,Employed,House,Excellent,Student,Tax Lien,Business,31307,33541,22,94,5,5,5,1759,18510,84,3437,15583,Rejected
Good,Unemployed,Land,Poor,Other,Tax Lien,Home Improvement,45686,47563,69,46,3,2,5,18148,5598,14,3084,726,Rejected
Poor,Unemployed,Other,Fair,Other,None,Business,21975,22655,20,83,4,1,0,9499,9286,44,2432,8525,Rejected
Excellent,Employed,Land,Fair,Other,Other,Car Financing,16839,15431,12,9,4,3,1,5077,4483,24,4778,18144,Rejected
Fair,Unemployed,House,Poor,Auto,Collection,Other,13214,19117,53,3,1,3,1,11346,6315,76,1257,6428,Rejected
Poor,Self-Employed,House,Excellent,Auto,Bankruptcy,Debt Consolidation,28842,36547,53,100,3,4,5,16977,1572,3,3386,16562,Rejected
Poor,Unemployed,Car,Fair,Auto,Bankruptcy,Car Financing,17249,11085,61,61,1,0,5,18036,9617,88,2759,12855,Rejected
Excellent,Employed,Other,Excellent,Auto,Judgement,Car Financing,20996,45571,57,15,3,5,3,1522,19010,76,2620,2647,Rejected
Poor,Employed,None,Poor,Other,Other,Car Financing,45921,32318,45,48,0,3,4,19936,1990,1,1406,10460,Rejected
Good,Self-Employed,None,Poor,Mortgage,Collection,Business,25289,35992,73,22,1,3,5,6966,4937,8,1887,4862,Approved
Good,Employed,Other,Poor,Auto,Other,Home Improvement,12717,36080,45,45,2,5,3,9660,10798,8,1313,17556,Rejected
Good,Unemployed,Land,Poor,Mortgage,Judgement,Home Improvement,39367,43330,74,61,0,2,5,13849,15178,48,4171,4094,Rejected
Poor,Unemployed,Investment,Good,Student,Bankruptcy,Business,34399,26947,53,90,3,3,0,1292,1034,14,3359,2766,Rejected
Good,Unemployed,Land,Fair,Student,Other,Other,46310,37556,100,45,4,3,0,8634,7485,66,2770,14208,Rejected
Good,Employed,Other,Good,Student,Bankruptcy,Car Financing,42833,49834,44,66,4,5,1,16649,579,54,2456,17726,Rejected
Fair,Self-Employed,None,Fair,Student,Judgement,Business,38552,18223,0,28,4,2,4,16132,7836,57,1447,13342,Rejected
Fair,Unemployed,Land,Excellent,Other,Bankruptcy,Other,40327,42767,3,12,5,4,3,15073,538,47,1416,675,Rejected
Good,Employed,Investment,Fair,Student,Bankruptcy,Home Improvement,26893,19101,84,58,0,5,5,12098,2592,60,1479,8609,Approved
Fair,Unemployed,Car,Excellent,Mortgage,Tax Lien,Other,39130,48079,43,87,2,1,2,16028,8051,8,3854,15652,Rejected
Excellent,Unemployed,Investment,Excellent,Personal,None,Debt Consolidation,45285,12311,78,14,3,4,1,19533,15632,26,4653,1495,Rejected
Fair,Self-Employed,Car,Fair,Auto,Judgement,Car Financing,14961,44247,71,2,0,3,1,18944,16636,89,2981,11215,Rejected
Poor,Unemployed,None,Good,Auto,None,Business,37784,30599,43,33,3,2,1,11851,12236,48,4041,11719,Rejected
Good,Self-Employed,Other,Fair,Auto,None,Business,35537,13088,63,60,4,1,2,12982,10256,65,3423,17647,Approved
Poor,Self-Employed,Other,Excellent,Mortgage,Bankruptcy,Business,28217,24059,75,65,2,0,3,7895,18470,41,1281,16389,Rejected
Excellent,Unemployed,House,Excellent,Other,None,Business,17658,24841,93,34,1,4,1,12556,12847,76,2140,17101,Rejected
Poor,Employed,Car,Fair,Other,Tax Lien,Other,41591,13926,1,82,3,0,0,2638,3622,15,2438,8751,Rejected
Excellent,Self-Employed,Other,Fair,Personal,Bankruptcy,Home Improvement,26158,24350,33,6,1,5,0,5281,8722,10,4699,8955,Rejected
Fair,Self-Employed,Car,Good,Mortgage,Bankruptcy,Business,15519,17665,18,99,3,3,3,7048,17426,80,1496,2781,Rejected
Poor,Unemployed,Other,Poor,Student,None,Car Financing,33741,15643,66,33,1,4,2,6502,11063,1,1395,5310,Rejected
Fair,Self-Employed,Car,Good,Personal,Judgement,Other,22536,29236,83,48,3,2,4,10158,12681,64,3920,9937,Rejected
Good,Unemployed,Other,Fair,Mortgage,Other,Home Improvement,44261,34537,82,95,5,1,2,12452,91,83,4903,2545,Rejected
Poor,Self-Employed,House,Poor,Student,Tax Lien,Other,38519,49980,24,78,3,2,5,9562,18734,47,2182,6404,Rejected
Good,Self-Employed,Car,Excellent,Student,Other,Home Improvement,38515,38051,46,26,5,4,5,12606,1641,8,2563,19823,Approved
Poor,Unemployed,Car,Fair,Auto,Other,Debt Consolidation,47952,35660,32,72,2,3,0,16845,291,33,3142,1111,Rejected
Excellent,Self-Employed,Land,Good,Personal,Bankruptcy,Home Improvement,42628,31422,79,40,0,4,0,15856,5782,82,4128,15744,Rejected
Fair,Self-Employed,House,Poor,Mortgage,Collection,Car Financing,11727,38688,55,16,1,5,1,1755,6244,36,3909,10979,Rejected
Poor,Employed,Other,Excellent,Student,Tax Lien,Business,46544,23982,60,7,1,4,3,8936,5191,94,2162,14001,Rejected
Fair,Unemployed,House,Fair,Mortgage,None,Car Financing,45388,20940,67,44,2,5,4,8541,2726,79,4644,14304,Rejected
Fair,Self-Employed,None,Poor,Student,Other,Debt Consolidation,18003,32684,87,32,1,5,1,4852,13897,81,1719,8331,Rejected
Fair,Employed,House,Poor,Student,Judgement,Car Financing,46569,30469,50,66,2,1,2,15965,9023,91,1053,1121,Rejected
Excellent,Unemployed,Land,Good,Student,Collection,Car Financing,15258,27796,0,40,3,4,4,12309,14415,69,3895,10215,Rejected
Fair,Unemployed,Investment,Fair,Student,Collection,Debt Consolidation,11241,13057,82,73,3,2,4,17374,16689,97,2888,2735,Rejected
Fair,Employed,Land,Excellent,Personal,None,Debt Consolidation,26605,47790,98,82,5,0,5,5255,19496,9,4892,13636,Rejected
Poor,Unemployed,House,Good,Mortgage,None,Home Improvement,43634,21403,29,62,5,3,3,19114,14188,99,1039,9118,Rejected
Fair,Self-Employed,None,Excellent,Personal,Judgement,Other,45855,40050,35,49,4,1,3,1729,701,79,4710,7747,Rejected
Excellent,Employed,Land,Poor,Auto,Collection,Car Financing,48224,47810,90,86,0,3,5,19717,6661,53,1453,17609,Rejected
Good,Self-Employed,Car,Good,Other,Tax Lien,Business,18422,42225,99,100,1,5,5,5847,1377,87,1166,11501,Rejected
Fair,Unemployed,Other,Poor,Student,Judgement,Debt Consolidation,43869,49976,64,23,1,0,5,19974,13513,62,3641,16039,Rejected
Fair,Employed,House,Excellent,Student,Tax Lien,Other,14848,26541,22,13,2,3,5,9619,17025,29,1419,912,Rejected
Fair,Self-Employed,Other,Poor,Mortgage,Bankruptcy,Car Financing,14442,41940,10,37,3,3,1,8459,18130,62,3026,5075,Rejected
Poor,Unemployed,Other,Poor,Student,Collection,Other,16227,13060,7,1,5,5,0,2801,8460,93,2670,4463,Rejected
Fair,Self-Employed,None,Excellent,Other,Other,Debt Consolidation,27009,34613,83,63,3,0,2,18229,2999,52,1470,5662,Rejected
Good,Self-Employed,Car,Good,Student,Bankruptcy,Other,23407,49964,71,58,2,2,5,17259,4076,72,2857,16954,Approved
Poor,Self-Employed,House,Good,Other,Other,Business,29637,22445,36,53,4,2,1,15876,185,36,2520,2304,Rejected
Excellent,Self-Employed,Investment,Poor,Mortgage,Collection,Other,42388,30850,63,33,2,3,2,18737,17060,27,2868,10676,Rejected
Fair,Employed,Other,Excellent,Student,Judgement,Debt Consolidation,29138,25430,55,5,4,2,5,16095,13494,61,4851,9766,Rejected
Poor,Unemployed,Land,Good,Mortgage,Bankruptcy,Debt Consolidation,48469,39736,83,7,1,2,2,16506,17157,13,2567,10198,Rejected
Poor,Unemployed,Other,Poor,Other,Bankruptcy,Other,33307,33669,12,46,4,1,5,19694,15313,64,2716,7187,Rejected
Excellent,Unemployed,Car,Excellent,Mortgage,Collection,Other,17574,17775,97,83,0,4,2,14511,2572,6,3110,15180,Rejected
Poor,Unemployed,Other,Poor,Mortgage,Bankruptcy,Car Financing,12239,29107,35,88,4,1,5,410,5409,17,2767,14382,Rejected
Good,Self-Employed,Land,Excellent,Other,Tax Lien,Home Improvement,10754,14024,65,70,3,5,3,6752,18524,62,3243,11634,Rejected
Good,Employed,Other,Fair,Personal,Other,Home Improvement,48540,11013,11,99,4,0,1,10423,2936,73,4451,7392,Approved
Poor,Self-Employed,Other,Good,Personal,Other,Home Improvement,41464,27039,21,11,0,3,1,9072,12780,8,4581,13996,Rejected
Good,Unemployed,Investment,Poor,Student,Judgement,Debt Consolidation,40340,21276,8,94,4,0,0,16955,11722,95,1961,7787,Rejected
Excellent,Employed,Land,Fair,Other,Bankruptcy,Car Financing,24448,20307,44,30,3,3,4,19541,6229,53,2016,2108,Rejected
Poor,Employed,None,Poor,Auto,Bankruptcy,Debt Consolidation,48449,43491,74,23,0,0,0,7906,19657,10,1456,11264,Rejected
Poor,Self-Employed,Investment,Good,Auto,Bankruptcy,Home Improvement,34936,43748,64,89,1,2,1,2940,14131,100,2124,13308,Rejected
Poor,Employed,Other,Excellent,Auto,None,Other,10862,11551,73,0,3,2,4,9236,13203,46,3609,1506,Rejected
Poor,Employed,Land,Good,Student,Tax Lien,Car Financing,28631,39702,5,41,2,0,5,6118,7161,20,4845,682,Rejected
Poor,Employed,House,Fair,Mortgage,Bankruptcy,Car Financing,20194,13306,9,15,2,4,4,278,3215,40,1062,18378,Rejected
Fair,Employed,None,Fair,Other,Bankruptcy,Home Improvement,49061,12602,72,81,3,2,0,18395,6417,72,3112,17472,Rejected
